ra dec j_m j_cmsig j_msigcom j_snr h_m h_cmsig h_msigcom h_snr k_m k_cmsig k_msigcom k_snr rd_flg dist angle j_h h_k j_k
76.035226 24.9561 14.843 0.037 0.039 43.2 14.161 0.044 0.045 35.9 13.922 0.054 28.0 AAA 222 755.794897 183.809273 0.6820 0.2390 0.9210
76.070005 24.96244 14.707 0.072 0.073 48.9 13.854 0.060 0.061 47.6 13.526 0.047 40.4 AAA 222 734.033885 175.052933 0.8530 0.3280 1.1810
76.137013 24.957342 15.11 0.046 0.048 35.0 14.497 0.061 0.061 22.9 14.266 0.053 21.9 AAA 222 800.860525 159.382415 0.6130 0.2310 0.8440
75.97413 24.956682 15.406 0.057 0.059 25.7 14.901 0.056 0.057 18.1 14.633 0.067 14.6 AAA 222 792.311415 198.364033 0.5050 0.2680 0.7730
76.015585 24.948355 16.376 0.107 0.108 10.5 15.727 0.137 0.137 8.5 15.518 0.157 6.4 ABC 222 790.307901 188.317493 0.6490 0.2090 0.8580
76.148777 24.953533 15.953 0.069 0.070 16.1 15.316 0.108 0.109 10.8 15.034 0.102 10.8 AAA 222 827.77935 157.227434 0.6370 0.2820 0.9190
75.941111 24.958824 13.745 0.023 0.026 118.7 13.1 0.030 0.032 92.0 12.937 0.024 69.4 AAA 222 825.54352 205.652193 0.6450 0.1630 0.8080
76.228694 24.9583 16.661 0.154 0.154 8.1 15.866 0.161 0.161 6.5 15.475 0.144 7.2 BCB 222 945.562259 142.070097 0.7950 0.3910 1.1860
76.11339 24.959333 15.557 0.049 0.050 23.1 14.936 0.066 0.067 15.3 14.857 0.085 12.7 AAA 222 770.197328 164.571419 0.6210 0.0790 0.7000
76.015585 24.948355 16.376 0.107 0.108 10.5 15.727 0.137 0.137 8.5 15.518 0.157 6.4 ABC 222 790.307901 188.317493 0.6490 0.2090 0.8580
76.11339 24.959333 15.557 0.049 0.050 23.1 14.936 0.066 0.067 15.3 14.857 0.085 12.7 AAA 222 770.197328 164.571419 0.6210 0.0790 0.7000
75.927619 24.965025 15.353 0.051 0.052 27.0 14.892 0.067 0.068 17.7 14.643 0.073 14.4 AAA 222 825.916538 209.078265 0.4610 0.2490 0.7100
76.085684 24.960163 14.956 0.037 0.039 38.9 14.535 0.040 0.041 25.4 14.344 0.052 19.0 AAA 222 748.294218 171.200378 0.4210 0.1910 0.6120
76.003611 24.964876 8.13 0.015 0.023 20913.7 7.147 0.041 0.044 22914.5 6.772 0.015 20305.8 AAA 111 738.610396 191.985915 0.9830 0.3750 1.3580
75.879288 24.958323 13.803 0.025 0.028 112.5 13.222 0.033 0.034 82.2 13.065 0.025 61.7 AAA 222 932.115018 216.861844 0.5810 0.1570 0.7380
75.967134 24.954351 15.881 0.082 0.083 16.6 15.51 0.101 0.101 10.3 15.113 0.126 9.4 AAB 222 807.682759 199.71458 0.3710 0.3970 0.7680
76.137013 24.957342 15.11 0.046 0.048 35.0 14.497 0.061 0.061 22.9 14.266 0.053 21.9 AAA 222 800.860525 159.382415 0.6130 0.2310 0.8440
76.003611 24.964876 8.13 0.015 0.023 20913.7 7.147 0.041 0.044 22914.5 6.772 0.015 20305.8 AAA 111 738.610396 191.985915 0.9830 0.3750 1.3580
76.035226 24.9561 14.843 0.037 0.039 43.2 14.161 0.044 0.045 35.9 13.922 0.054 28.0 AAA 222 755.794897 183.809273 0.6820 0.2390 0.9210
75.977211 24.963739 15.587 0.044 0.045 21.8 15.088 0.079 0.080 15.3 14.784 0.080 12.7 AAA 222 765.03437 198.247598 0.4990 0.3040 0.8030
76.137013 24.957342 15.11 0.046 0.048 35.0 14.497 0.061 0.061 22.9 14.266 0.053 21.9 AAA 222 800.860525 159.382415 0.6130 0.2310 0.8440
75.905319 24.962051 15.565 0.066 0.067 22.2 14.912 0.091 0.091 17.3 14.768 0.104 12.9 AAA 222 872.546624 212.919108 0.6530 0.1440 0.7970
75.897612 24.969635 15.419 0.040 0.041 25.4 15.057 0.068 0.069 15.2 14.814 0.088 12.3 AAA 222 864.005511 215.303233 0.3620 0.2430 0.6050
75.905319 24.962051 15.565 0.066 0.067 22.2 14.912 0.091 0.091 17.3 14.768 0.104 12.9 AAA 222 872.546624 212.919108 0.6530 0.1440 0.7970
75.927619 24.965025 15.353 0.051 0.052 27.0 14.892 0.067 0.068 17.7 14.643 0.073 14.4 AAA 222 825.916538 209.078265 0.4610 0.2490 0.7100
76.079852 24.957668 15.746 0.056 0.058 18.8 15.479 0.101 0.101 10.7 15.277 0.128 8.1 AAB 222 754.5334 172.733173 0.2670 0.2020 0.4690
75.994581 24.965681 16.762 0.198 0.198 7.4 15.885 0.155 0.156 7.3 15.364 0.159 7.4 CCC 222 742.468106 194.257699 0.8770 0.5210 1.3980
76.11339 24.959333 15.557 0.049 0.050 23.1 14.936 0.066 0.067 15.3 14.857 0.085 12.7 AAA 222 770.197328 164.571419 0.6210 0.0790 0.7000
76.028601 24.970989 16.777 0.142 0.143 7.3 16.464 0.251 0.251 4.3 16.063 0.261 3.9 BDD 222 704.19436 185.854204 0.3130 0.4010 0.7140
75.905319 24.962051 15.565 0.066 0.067 22.2 14.912 0.091 0.091 17.3 14.768 0.104 12.9 AAA 222 872.546624 212.919108 0.6530 0.1440 0.7970
76.139361 24.96299 16.848 0.159 0.159 7.0 16.447 null null null 16.229 null null CUU 200 784.649923 158.336573 - - -
76.035226 24.9561 14.843 0.037 0.039 43.2 14.161 0.044 0.045 35.9 13.922 0.054 28.0 AAA 222 755.794897 183.809273 0.6820 0.2390 0.9210
75.941111 24.958824 13.745 0.023 0.026 118.7 13.1 0.030 0.032 92.0 12.937 0.024 69.4 AAA 222 825.54352 205.652193 0.6450 0.1630 0.8080
75.905319 24.962051 15.565 0.066 0.067 22.2 14.912 0.091 0.091 17.3 14.768 0.104 12.9 AAA 222 872.546624 212.919108 0.6530 0.1440 0.7970
75.967134 24.954351 15.881 0.082 0.083 16.6 15.51 0.101 0.101 10.3 15.113 0.126 9.4 AAB 222 807.682759 199.71458 0.3710 0.3970 0.7680
76.061137 24.957565 16.828 0.138 0.139 6.9 15.985 0.160 0.160 6.7 16.133 0.280 3.7 CCD 222 749.640455 177.373028 0.8430 -0.1480 0.6950
76.043029 24.965061 16.856 0.151 0.151 6.8 16.258 0.196 0.196 5.2 15.899 0.236 4.5 CCD 222 722.291586 181.963017 0.5980 0.3590 0.9570
75.879288 24.958323 13.803 0.025 0.028 112.5 13.222 0.033 0.034 82.2 13.065 0.025 61.7 AAA 222 932.115018 216.861844 0.5810 0.1570 0.7380
75.994581 24.965681 16.762 0.198 0.198 7.4 15.885 0.155 0.156 7.3 15.364 0.159 7.4 CCC 222 742.468106 194.257699 0.8770 0.5210 1.3980
76.061137 24.957565 16.828 0.138 0.139 6.9 15.985 0.160 0.160 6.7 16.133 0.280 3.7 CCD 222 749.640455 177.373028 0.8430 -0.1480 0.6950
76.043029 24.965061 16.856 0.151 0.151 6.8 16.258 0.196 0.196 5.2 15.899 0.236 4.5 CCD 222 722.291586 181.963017 0.5980 0.3590 0.9570
75.874667 24.959904 16.626 0.122 0.123 8.4 15.99 0.155 0.156 6.4 15.441 0.155 6.9 BCC 222 936.716911 217.809173 0.6360 0.5490 1.1850
75.927619 24.965025 15.353 0.051 0.052 27.0 14.892 0.067 0.068 17.7 14.643 0.073 14.4 AAA 222 825.916538 209.078265 0.4610 0.2490 0.7100
75.900131 24.966639 16.205 0.083 0.084 12.3 15.613 0.132 0.132 9.1 15.6 0.174 6.0 ABC 222 868.167733 214.449367 0.5920 0.0130 0.6050
75.945504 24.964849 13.017 0.021 0.024 232.1 12.328 0.032 0.033 187.4 12.137 0.022 145.1 AAA 222 799.795215 205.397512 0.6890 0.1910 0.8800
76.106404 24.964792 12.692 0.025 0.027 324.1 12.252 0.028 0.029 181.2 12.033 0.017 171.1 AAA 222 745.383243 165.859934 0.4400 0.2190 0.6590
76.043029 24.965061 16.856 0.151 0.151 6.8 16.258 0.196 0.196 5.2 15.899 0.236 4.5 CCD 222 722.291586 181.963017 0.5980 0.3590 0.9570
76.139361 24.96299 16.848 0.159 0.159 7.0 16.447 null null null 16.229 null null CUU 200 784.649923 158.336573 - - -
76.228694 24.9583 16.661 0.154 0.154 8.1 15.866 0.161 0.161 6.5 15.475 0.144 7.2 BCB 222 945.562259 142.070097 0.7950 0.3910 1.1860
75.945504 24.964849 13.017 0.021 0.024 232.1 12.328 0.032 0.033 187.4 12.137 0.022 145.1 AAA 222 799.795215 205.397512 0.6890 0.1910 0.8800
75.858267 24.958204 16.205 0.096 0.097 12.3 15.556 0.111 0.111 9.6 15.153 0.129 9.0 ABB 222 975.076791 220.077228 0.6490 0.4030 1.0520
76.197916 24.96476 15.02 0.034 0.036 38.0 14.408 0.052 0.052 24.9 14.247 0.046 22.3 AAA 222 867.989691 146.36695 0.6120 0.1610 0.7730
76.139361 24.96299 16.848 0.159 0.159 7.0 16.447 null null null 16.229 null null CUU 200 784.649923 158.336573 - - -
76.228694 24.9583 16.661 0.154 0.154 8.1 15.866 0.161 0.161 6.5 15.475 0.144 7.2 BCB 222 945.562259 142.070097 0.7950 0.3910 1.1860
75.856181 24.965115 16.251 0.099 0.100 11.8 15.759 0.155 0.156 8.0 15.604 0.188 6.0 ACC 222 960.626458 221.342175 0.4920 0.1550 0.6470
75.919279 24.968605 15.885 0.062 0.063 16.5 15.3 0.096 0.097 12.1 15.034 0.113 10.1 AAB 222 828.398264 211.157334 0.5850 0.2660 0.8510
76.153647 24.968996 13.48 0.025 0.027 156.8 12.976 0.031 0.032 93.0 12.797 0.026 84.7 AAA 222 783.41263 154.581227 0.5040 0.1790 0.6830
76.188644 24.969469 10.919 0.028 0.030 1658.9 10.489 0.035 0.036 919.0 10.315 0.021 832.6 AAA 222 837.281463 147.450794 0.4300 0.1740 0.6040
76.149886 24.964552 16.516 0.113 0.114 9.6 15.564 0.125 0.125 8.6 15.487 0.150 7.1 BBB 222 792.810334 155.878304 0.9520 0.0770 1.0290
75.945504 24.964849 13.017 0.021 0.024 232.1 12.328 0.032 0.033 187.4 12.137 0.022 145.1 AAA 222 799.795215 205.397512 0.6890 0.1910 0.8800
76.096884 24.964336 16.578 0.110 0.111 9.0 15.968 0.176 0.176 5.9 15.593 0.160 6.4 BCC 222 740.026562 168.224507 0.6100 0.3750 0.9850
76.096884 24.964336 16.578 0.110 0.111 9.0 15.968 0.176 0.176 5.9 15.593 0.160 6.4 BCC 222 740.026562 168.224507 0.6100 0.3750 0.9850
75.977211 24.963739 15.587 0.044 0.045 21.8 15.088 0.079 0.080 15.3 14.784 0.080 12.7 AAA 222 765.03437 198.247598 0.4990 0.3040 0.8030
76.139361 24.96299 16.848 0.159 0.159 7.0 16.447 null null null 16.229 null null CUU 200 784.649923 158.336573 - - -
75.919279 24.968605 15.885 0.062 0.063 16.5 15.3 0.096 0.097 12.1 15.034 0.113 10.1 AAB 222 828.398264 211.157334 0.5850 0.2660 0.8510
75.927619 24.965025 15.353 0.051 0.052 27.0 14.892 0.067 0.068 17.7 14.643 0.073 14.4 AAA 222 825.916538 209.078265 0.4610 0.2490 0.7100
76.043029 24.965061 16.856 0.151 0.151 6.8 16.258 0.196 0.196 5.2 15.899 0.236 4.5 CCD 222 722.291586 181.963017 0.5980 0.3590 0.9570
76.167133 24.970448 14.561 0.034 0.036 58.0 13.871 0.041 0.042 40.8 13.643 0.038 38.8 AAA 222 798.65401 151.566278 0.6900 0.2280 0.9180
75.868732 24.970657 12.28 0.021 0.024 457.5 11.661 0.033 0.034 346.4 11.425 0.024 279.5 AAA 222 918.784292 220.242553 0.6190 0.2360 0.8550
75.995186 24.967672 16.529 0.201 0.201 9.1 15.644 null null null 14.484 null null CUU 200 735.035081 194.245893 - - -
76.061137 24.957565 16.828 0.138 0.139 6.9 15.985 0.160 0.160 6.7 16.133 0.280 3.7 CCD 222 749.640455 177.373028 0.8430 -0.1480 0.6950
76.028601 24.970989 16.777 0.142 0.143 7.3 16.464 0.251 0.251 4.3 16.063 0.261 3.9 BDD 222 704.19436 185.854204 0.3130 0.4010 0.7140
76.213292 24.969906 16.698 0.138 0.139 8.1 15.85 0.150 0.150 6.6 15.685 0.184 5.9 BCC 222 881.837069 142.982759 0.8480 0.1650 1.0130
75.843604 24.967405 15.42 0.044 0.045 25.4 15.005 0.059 0.060 15.9 14.735 0.082 13.3 AAA 222 982.167337 223.459875 0.4150 0.2700 0.6850
76.249186 24.962332 16.264 0.098 0.099 11.7 15.766 0.143 0.143 7.1 15.657 0.172 6.1 ABC 222 977.089936 138.448639 0.4980 0.1090 0.6070
75.995186 24.967672 16.529 0.201 0.201 9.1 15.644 null null null 14.484 null null CUU 200 735.035081 194.245893 - - -
75.897612 24.969635 15.419 0.040 0.041 25.4 15.057 0.068 0.069 15.2 14.814 0.088 12.3 AAA 222 864.005511 215.303233 0.3620 0.2430 0.6050
76.149886 24.964552 16.516 0.113 0.114 9.6 15.564 0.125 0.125 8.6 15.487 0.150 7.1 BBB 222 792.810334 155.878304 0.9520 0.0770 1.0290
75.839164 24.962509 16.233 0.091 0.092 12.0 15.548 0.120 0.121 9.7 15.497 0.150 6.6 ABC 222 1004.931948 223.370337 0.6850 0.0510 0.7360
75.977211 24.963739 15.587 0.044 0.045 21.8 15.088 0.079 0.080 15.3 14.784 0.080 12.7 AAA 222 765.03437 198.247598 0.4990 0.3040 0.8030
75.995186 24.967672 16.529 0.201 0.201 9.1 15.644 null null null 14.484 null null CUU 200 735.035081 194.245893 - - -
75.945504 24.964849 13.017 0.021 0.024 232.1 12.328 0.032 0.033 187.4 12.137 0.022 145.1 AAA 222 799.795215 205.397512 0.6890 0.1910 0.8800
75.995186 24.967672 16.529 0.201 0.201 9.1 15.644 null null null 14.484 null null CUU 200 735.035081 194.245893 - - -
